renda,limite,pontuacao,cartoes,idade,escolaridade,imovel_proprio,estudante,casado,regiao,saldo
14.891,3606,283,2,34,11,não,não,sim,Sul,333
106.025,6645,483,3,82,15,sim,sim,sim,Oeste,903
104.593,7075,514,4,71,11,não,não,não,Oeste,580
148.924,9504,681,3,36,11,sim,não,não,Oeste,964
55.882,4897,357,2,68,16,não,não,sim,Sul,331
80.18,8047,569,4,77,10,não,não,não,Sul,1151
20.996,3388,259,2,37,12,sim,não,não,Leste,203
71.408,7114,512,2,87,9,não,não,não,Oeste,872
15.125,3300,266,5,66,13,sim,não,não,Sul,279
71.061,6819,491,3,41,19,sim,sim,sim,Leste,1350
63.095,8117,589,4,30,14,não,não,sim,Sul,1407
15.045,1311,138,3,64,16,não,não,não,Sul,0
80.616,5308,394,1,57,7,sim,não,sim,Oeste,204
43.682,6922,511,1,49,9,não,não,sim,Sul,1081
19.144,3291,269,2,75,13,sim,não,não,Leste,148
20.089,2525,200,3,57,15,sim,não,sim,Leste,0
53.598,3714,286,3,73,17,sim,não,sim,Leste,0
36.496,4378,339,3,69,15,sim,não,sim,Oeste,368
49.57,6384,448,1,28,9,sim,não,sim,Oeste,891
42.079,6626,479,2,44,9,não,não,não,Oeste,1048
17.7,2860,235,4,63,16,sim,não,não,Oeste,89
37.348,6378,458,1,72,17,sim,não,não,Sul,968
20.103,2631,213,3,61,10,não,não,sim,Leste,0
64.027,5179,398,5,48,8,não,não,sim,Leste,411
10.742,1757,156,3,57,15,sim,não,não,Sul,0
14.09,4323,326,5,25,16,sim,não,sim,Leste,671
42.471,3625,289,6,44,12,sim,sim,não,Sul,654
32.793,4534,333,2,44,16,não,não,não,Leste,467
186.634,13414,949,2,41,14,sim,não,sim,Leste,1809
26.813,5611,411,4,55,16,sim,não,não,Sul,915
34.142,5666,413,4,47,5,sim,não,sim,Sul,863
28.941,2733,210,5,43,16,não,não,sim,Oeste,0
134.181,7838,563,2,48,13,sim,não,não,Sul,526
31.367,1829,162,4,30,10,não,não,sim,Sul,0
20.15,2646,199,2,25,14,sim,não,sim,Oeste,0
23.35,2558,220,3,49,12,sim,sim,não,Sul,419
62.413,6457,455,2,71,11,sim,não,sim,Sul,762
30.007,6481,462,2,69,9,sim,não,sim,Sul,1093
11.795,3899,300,4,25,10,sim,não,não,Sul,531
13.647,3461,264,4,47,14,não,não,sim,Sul,344
34.95,3327,253,3,54,14,sim,não,não,Leste,50
113.659,7659,538,2,66,15,não,sim,sim,Leste,1155
44.158,4763,351,2,66,13,sim,não,sim,Oeste,385
36.929,6257,445,1,24,14,sim,não,sim,Oeste,976
31.861,6375,469,3,25,16,sim,não,sim,Sul,1120
77.38,7569,564,3,50,12,sim,não,sim,Sul,997
19.531,5043,376,2,64,16,sim,sim,sim,Oeste,1241
44.646,4431,320,2,49,15,não,sim,sim,Sul,797
44.522,2252,205,6,72,15,não,não,sim,Oeste,0
43.479,4569,354,4,49,13,não,sim,sim,Leste,902
36.362,5183,376,3,49,15,não,não,sim,Leste,654
39.705,3969,301,2,27,20,não,não,sim,Leste,211
44.205,5441,394,1,32,12,não,não,sim,Sul,607
16.304,5466,413,4,66,10,não,não,sim,Oeste,957
15.333,1499,138,2,47,9,sim,não,sim,Oeste,0
32.916,1786,154,2,60,8,sim,não,sim,Oeste,0
57.1,4742,372,7,79,18,sim,não,sim,Oeste,379
76.273,4779,367,4,65,14,sim,não,sim,Sul,133
10.354,3480,281,2,70,17,não,não,sim,Sul,333
51.872,5294,390,4,81,17,sim,não,não,Sul,531
35.51,5198,364,2,35,20,sim,não,não,Oeste,631
21.238,3089,254,3,59,10,sim,não,não,Sul,108
30.682,1671,160,2,77,7,sim,não,não,Sul,0
14.132,2998,251,4,75,17,não,não,não,Sul,133
32.164,2937,223,2,79,15,sim,não,sim,Leste,0
12.0,4160,320,4,28,14,sim,não,sim,Sul,602
113.829,9704,694,4,38,13,sim,não,sim,Oeste,1388
11.187,5099,380,4,69,16,sim,não,não,Leste,889
27.847,5619,418,2,78,15,sim,não,sim,Sul,822
49.502,6819,505,4,55,14,não,não,sim,Sul,1084
24.889,3954,318,4,75,12,não,não,sim,Sul,357
58.781,7402,538,2,81,12,sim,não,sim,Oeste,1103
22.939,4923,355,1,47,18,sim,não,sim,Oeste,663
23.989,4523,338,4,31,15,não,não,não,Sul,601
16.103,5390,418,4,45,10,sim,não,sim,Sul,945
33.017,3180,224,2,28,16,não,não,sim,Leste,29
30.622,3293,251,1,68,16,não,sim,não,Sul,532
20.936,3254,253,1,30,15,sim,não,não,Oeste,145
110.968,6662,468,3,45,11,sim,não,sim,Sul,391
15.354,2101,171,2,65,14,não,não,não,Oeste,0
27.369,3449,288,3,40,9,sim,não,sim,Sul,162
53.48,4263,317,1,83,15,não,não,não,Sul,99
23.672,4433,344,3,63,11,não,não,não,Sul,503
19.225,1433,122,3,38,14,sim,não,não,Sul,0
43.54,2906,232,4,69,11,não,não,não,Sul,0
152.298,12066,828,4,41,12,sim,não,sim,Oeste,1779
55.367,6340,448,1,33,15,não,não,sim,Sul,815
11.741,2271,182,4,59,12,sim,não,não,Oeste,0
15.56,4307,352,4,57,8,não,não,sim,Leste,579
59.53,7518,543,3,52,9,sim,não,não,Leste,1176
20.191,5767,431,4,42,16,não,não,sim,Leste,1023
48.498,6040,456,3,47,16,não,não,sim,Sul,812
30.733,2832,249,4,51,13,não,não,não,Sul,0
16.479,5435,388,2,26,16,não,não,não,Leste,937
38.009,3075,245,3,45,15,sim,não,não,Leste,0
14.084,855,120,5,46,17,sim,não,sim,Leste,0
14.312,5382,367,1,59,17,não,sim,não,Oeste,1380
26.067,3388,266,4,74,17,sim,não,sim,Leste,155
36.295,2963,241,2,68,14,sim,sim,não,Leste,375
83.851,8494,607,5,47,18,não,não,não,Sul,1311
21.153,3736,256,1,41,11,não,não,não,Sul,298
17.976,2433,190,3,70,16,sim,sim,não,Sul,431
68.713,7582,531,2,56,16,não,sim,não,Sul,1587
146.183,9540,682,6,66,15,não,não,não,Sul,1050
15.846,4768,365,4,53,12,sim,não,não,Sul,745
12.031,3182,259,2,58,18,sim,não,sim,Sul,210
16.819,1337,115,2,74,15,não,não,sim,Oeste,0
39.11,3189,263,3,72,12,não,não,não,Oeste,0
107.986,6033,449,4,64,14,não,não,sim,Sul,227
13.561,3261,279,5,37,19,não,não,sim,Oeste,297
34.537,3271,250,3,57,17,sim,não,sim,Oeste,47
28.575,2959,231,2,60,11,sim,não,não,Leste,0
46.007,6637,491,4,42,14,não,não,sim,Sul,1046
69.251,6386,474,4,30,12,sim,não,sim,Oeste,768
